QTD_PACOTES,MED_ATRASO,TAX_MED_LEN_PKG,TAX_MED_LEN_PKG_POR_SEG,TAX_MED_LEN_PAYLOAD,TAX_MED_LEN_PAYLOAD_POR_SEG,TAX_PKG_POR_SEG,QTD_PKG_PERDIDOS
4,29.023133993148804,-1,5.083333333333333,-1,1.6166666666666667,0.06666666666666667,629
0,-1,-1,-1,-1,-1,-1,875
3,28.578231970469158,-1,2.7333333333333334,-1,0.0,0.05,718
1,25.20838713645935,-1,2.4833333333333334,-1,1.6166666666666667,0.016666666666666666,879
0,-1,-1,-1,-1,-1,-1,796
7,50.84546000616891,-1,21.85,-1,15.65,0.11666666666666667,683
2,47.62374949455261,-1,1.7333333333333334,-1,0.0,0.03333333333333333,910
1,42.14594101905823,-1,1.0,-1,0.0,0.016666666666666666,705
2,37.96154844760895,-1,1.8666666666666667,-1,0.0,0.03333333333333333,772
6,14.040716290473938,-1,22.683333333333334,-1,17.216666666666665,0.1,778
2,4.5712034702301025,-1,9.65,-1,7.783333333333333,0.03333333333333333,784
0,-1,-1,-1,-1,-1,-1,758
1,11.85346508026123,-1,0.8666666666666667,-1,0.0,0.016666666666666666,775
5,45.56315546035766,-1,13.883333333333333,-1,9.416666666666666,0.08333333333333333,918
3,43.70300761858622,-1,2.6,-1,0.0,0.05,881
1,55.59962201118469,-1,0.8666666666666667,-1,0.0,0.016666666666666666,732
0,-1,-1,-1,-1,-1,-1,917
0,-1,-1,-1,-1,-1,-1,689
0,-1,-1,-1,-1,-1,-1,783
4,29.96562147140503,-1,5.216666666666667,-1,1.6166666666666667,0.06666666666666667,589
2,57.027679681777954,-1,9.75,-1,7.816666666666666,0.03333333333333333,900
2,54.76643407344818,-1,1.7333333333333334,-1,0.0,0.03333333333333333,824
0,-1,-1,-1,-1,-1,-1,902
5,46.86319799423218,-1,13.783333333333333,-1,9.45,0.08333333333333333,879
1,6.156540155410767,-1,1.0,-1,0.0,0.016666666666666666,744
0,-1,-1,-1,-1,-1,-1,908
1,54.935874938964844,-1,2.4833333333333334,-1,1.6166666666666667,0.016666666666666666,754
0,-1,-1,-1,-1,-1,-1,691
2,47.45848047733307,-1,9.566666666666666,-1,7.833333333333333,0.03333333333333333,654
1,20.7773859500885,-1,8.666666666666666,-1,7.8,0.016666666666666666,720
3,8.66294233004252,-1,12.0,-1,9.4,0.05,513
