QTD_PACOTES,MED_ATRASO,TAX_MED_LEN_PKG,TAX_MED_LEN_PKG_POR_SEG,TAX_MED_LEN_PAYLOAD,TAX_MED_LEN_PAYLOAD_POR_SEG,TAX_PKG_POR_SEG,QTD_PKG_PERDIDOS
0,-1,-1,-1,-1,-1,-1,189
0,-1,-1,-1,-1,-1,-1,167
1,0.6692759990692139,77.69589836228741,0.8666666666666667,0.0,0.0,0.016666666666666666,61
3,38.47441999117533,2.1977540517962617,4.216666666666667,0.8461749531020989,1.6166666666666667,0.05,103
0,-1,-1,-1,-1,-1,-1,109
0,-1,-1,-1,-1,-1,-1,187
0,-1,-1,-1,-1,-1,-1,159
0,-1,-1,-1,-1,-1,-1,225
0,-1,-1,-1,-1,-1,-1,158
0,-1,-1,-1,-1,-1,-1,146
0,-1,-1,-1,-1,-1,-1,148
0,-1,-1,-1,-1,-1,-1,128
3,28.578231970469158,57.79243245125898,2.7333333333333334,0.0,0.0,0.05,159
0,-1,-1,-1,-1,-1,-1,122
0,-1,-1,-1,-1,-1,-1,161
0,-1,-1,-1,-1,-1,-1,188
1,25.20838713645935,5.910731186149493,2.4833333333333334,3.84792567152014,1.6166666666666667,0.016666666666666666,178
0,-1,-1,-1,-1,-1,-1,162
0,-1,-1,-1,-1,-1,-1,152
0,-1,-1,-1,-1,-1,-1,199
0,-1,-1,-1,-1,-1,-1,145
0,-1,-1,-1,-1,-1,-1,135
0,-1,-1,-1,-1,-1,-1,163
0,-1,-1,-1,-1,-1,-1,173
0,-1,-1,-1,-1,-1,-1,180
0,-1,-1,-1,-1,-1,-1,150
0,-1,-1,-1,-1,-1,-1,98
4,47.47015577554703,3.576692827614978,11.416666666666666,2.4394658717072444,7.816666666666666,0.06666666666666667,165
0,-1,-1,-1,-1,-1,-1,130
3,55.345865646998085,3.775558144879437,10.433333333333334,2.8360081162954525,7.833333333333333,0.05,140
0,-1,-1,-1,-1,-1,-1,186
2,47.62374949455261,1.091897008339636,1.7333333333333334,0.0,0.0,0.03333333333333333,169
0,-1,-1,-1,-1,-1,-1,204
0,-1,-1,-1,-1,-1,-1,179
0,-1,-1,-1,-1,-1,-1,172
0,-1,-1,-1,-1,-1,-1,140
0,-1,-1,-1,-1,-1,-1,78
0,-1,-1,-1,-1,-1,-1,155
1,42.14594101905823,1.4236246373729855,1.0,0.0,0.0,0.016666666666666666,149
0,-1,-1,-1,-1,-1,-1,183
2,37.96154844760895,1.530867257764013,1.8666666666666667,0.0,0.0,0.03333333333333333,124
0,-1,-1,-1,-1,-1,-1,172
