QTD_PACOTES,MED_ATRASO,TAX_MED_LEN_PKG,TAX_MED_LEN_PKG_POR_SEG,TAX_MED_LEN_PAYLOAD,TAX_MED_LEN_PAYLOAD_POR_SEG,TAX_PKG_POR_SEG,QTD_PKG_PERDIDOS
6,13.037979205449423,11.338586095666551,14.783333333333333,7.247975768456339,9.45,0.1,348
12,32.764066418011986,241542.9210922412,45.016666666666666,217455.14511445994,34.483333333333334,0.2,342
3,5.007616996765137,17.374907756066865,4.35,6.458352102514151,1.6166666666666667,0.05,350
6,46.13716332117716,3.189756356993404,14.716666666666667,2.033783069705699,9.383333333333333,0.1,348
2,27.086702466011047,1.919761185572773,1.7333333333333334,0.0,0.0,0.03333333333333333,352
5,2.003411388397217,83.25152152982793,13.9,56.49727979305576,9.433333333333334,0.08333333333333333,340
1,51.15658092498779,1.1728696272328978,1.0,0.0,0.0,0.016666666666666666,354
3,10.694145679473877,5.901738288741993,2.8666666666666667,0.0,0.0,0.05,349
9,39.340804974238075,5.030549440035004,26.6,3.589328523311831,18.8,0.15,344
0,-1,-1,-1,-1,-1,-1,353
0,-1,-1,-1,-1,-1,-1,6
